STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,SOURCE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
United States,US,155803701,,"264,798,961",7.88%,"1,175,823","1,012,187","403,120","2,591,130","3,325,217","244,666,890",63.68%,58.84%
Alabama,AL,2268200,https://www2.alabamavotes.gov/electionNight/statewideResultsByContest.aspx?ecode=1001225,"4,020,661",2.69%,"25,403","27,469","7,815","60,687",,"3,851,818",58.89%,56.41%
Alaska,AK,304423,https://www.elections.alaska.gov/enr/,"560,512",3.28%,"4,778","1,872",865,"7,515",,"534,612",56.94%,54.31%
Arizona,AZ,3428011,https://apps.arizona.vote/electioninfo/BPS/47/0,"5,951,329",7.99%,"31,441","47,515","7,022","85,978",,"5,389,840",63.60%,57.60%
Arkansas,AR,1190172,https://results.enr.clarityelections.com/AR/122502/web.345435/#/summary,"2,391,789",4.06%,"17,331","28,009","23,829","69,169",,"2,225,513",53.48%,49.76%
California,CA,16250000,https://www.sos.ca.gov/elections/upcoming-elections/general-election-nov-5-2024,"30,601,993",14.69%,"97,608",0,0,"97,608",,"26,008,952",62.48%,53.10%
Colorado,CO,3240081,https://www.sos.state.co.us/pubs/elections/main.html,"4,728,091",5.93%,"16,366",0,0,"16,366",,"4,431,349",73.12%,68.53%
Connecticut,CT,1790000,https://ctemspublic.tgstg.net/#/home,"2,912,979",8.10%,"10,204",0,0,"10,204",,"2,666,824",67.12%,61.45%
Delaware,DE,518330,https://elections.delaware.gov/results/html/index.shtml?electionId=GE2024,"835,621",6.00%,"4,733","7,027",344,"12,104",,"773,380",67.02%,62.03%
District of Columbia,DC,329000,https://electionresults.dcboe.org/election_results/2024-General-Election,"561,851",7.92%,0,0,0,0,,"517,352",63.59%,58.56%
Florida,FL,11004209,https://floridaelectionwatch.gov/CountyReportingStatus,"18,664,571",10.52%,"82,313","119,938","3,970","206,221",,"16,494,837",66.71%,58.96%
Georgia,GA,5297258,https://results.sos.ga.gov/results/public/Georgia/elections/2024NovGen,"8,647,469",6.80%,"48,349","233,623","17,062","299,034",,"7,760,407",68.26%,61.26%
Hawaii,HI,522236,https://elections.hawaii.gov/election-results/,"1,140,526",7.71%,"3,993",9802,0,"13,795",,"1,038,796",50.27%,45.79%
